Number	Selection	P_fix	P_fix_MH
1074	-4.66554075745	0.0	0.0
1075	0.00445322208168	0.0150386143306	1.0
1076	-0.0385113333998	3.61905763791e-05	0.000487976156395
1077	-1.96437699578	1.18574514951e-169	1.20953447186e-169
1078	-1.18320368772	1.63367997182e-102	1.80281497322e-102
1079	-3.79586306389	0.0	0.0
1080	0.0015969248264	0.0116631511974	1.0
1081	-0.0563192273378	1.52951948983e-06	1.43579464006e-05
1082	-19.0112116118	0.0	0.0
1083	0.00702028287619	0.018481484337	1.0
1084	-0.10020451102	4.39044803176e-10	2.41759357512e-09
1085	-2.92272636881	4.70546779579e-252	4.71912032715e-252
1086	0.00527865110478	0.0161054834091	1.0
1087	-2.3529370696	4.63738654331e-203	4.67970042633e-203
1088	-0.0412305420774	2.25503255416e-05	0.000284821659038
1089	0.0070202796318	0.0184814797598	1.0
1090	-34.7366048484	0.0	0.0
1091	-224.198095355	0.0	0.0
1092	-0.0295079840092	0.000166727117653	0.00290134506555
1093	-709.7756926	0.0	0.0
1094	-44.4622491339	0.0	0.0
1095	-0.00419917394799	0.00640867282522	0.435423376592
1096	0.00051563548874	0.0105190716445	1.0
1097	-0.00750024784006	0.00434059538391	0.226491225951
1098	-0.00217625711446	0.00799851068841	0.649924609202
1099	-0.0534070070537	2.5891983733e-06	2.55573043756e-05
1100	-0.0301584780653	0.00014966317893	0.00255072242268
1101	-0.00586933085513	0.00528439028491	0.312819945075
1102	-709.7756926	0.0	0.0
1103	-0.982718521847	2.69266828574e-85	3.13135425014e-85
1104	-0.0122775884458	0.00233365137778	0.0879521368186
1105	-0.0712830194187	9.85774362868e-08	7.41910037117e-07
1106	0.00191609939169	0.0120151452045	1.0
1107	0.00269023152132	0.0128955971079	1.0
1108	-709.7756926	0.0	0.0
1109	-227.940553353	0.0	0.0
1110	0.0070202933316	0.0184814990874	1.0
1111	-0.173685589325	3.40617702429e-16	1.16070747156e-15
1112	-64.9616009878	0.0	0.0
1113	-0.041547555954	2.1334199607e-05	0.000267493289239
1114	-3.88713041277	0.0	0.0
1115	0.0055067572258	0.0164071914275	1.0
1116	-0.00633567918509	0.004999466313	0.285228553313
1117	-0.312949713292	5.71499852702e-28	1.22845131075e-27
1118	-0.0628019186566	4.69525363447e-07	3.97780700612e-06
1119	-0.0932866194526	1.61890037367e-09	9.51162928595e-09
1120	-189.253708835	0.0	0.0
1121	-0.00144401769762	0.00863785932644	0.751326097217
1122	-672.219966398	0.0	0.0
1123	-709.7756926	0.0	0.0
1124	-0.0285019102256	0.000196857303387	0.0035408862691
1125	-0.3425697043	1.72898018031e-30	3.48598742032e-30
1126	0.0070202933316	0.0184814990874	1.0
1127	-0.318978014366	1.7562353466e-28	3.72376688435e-28
1128	-30.5282588037	0.0	0.0
1129	-116.912243578	0.0	0.0
1130	0.0070202933316	0.0184814990874	1.0
1131	0.00701937603675	0.018480204989	1.0
1132	-0.334737105214	8.02219263909e-30	1.64381681574e-29
1133	-0.100475131777	4.17153401636e-10	2.29146132001e-09
1134	-16.8084126556	0.0	0.0
1135	-25.052138569	0.0	0.0
1136	-0.00170700628909	0.0084042725509	0.713204384591
1137	-1.58861972353	2.37466754031e-137	2.47800173185e-137
1138	-0.00419479406396	0.0064118405756	0.435801146943
1139	-8.04909853351	0.0	0.0
1140	-237.673224238	0.0	0.0
1141	-0.00306976597294	0.00726467166208	0.544540116952
1142	-383.550641939	0.0	0.0
1143	-31.1709644741	0.0	0.0
1144	-0.0174778209875	0.00111276240179	0.0314106410817
1145	-1.88883719691	3.70048402258e-163	3.78711747736e-163
1146	-224.198095355	0.0	0.0
1147	0.000986648563366	0.0110082118949	1.0
1148	-0.175110656232	2.58637247425e-16	8.75348191195e-16
1149	-1.7979880594	2.38986391347e-155	2.45727657199e-155
1150	-0.0657619819312	2.72813342264e-07	2.21363981438e-06
1151	0.00693783557572	0.0183653437588	1.0
1152	-0.25769798354	2.78927652745e-23	6.92581959371e-23
1153	-0.0141943295966	0.0017889415384	0.0601762658055
1154	-0.620851697262	2.91546235858e-54	4.09988516088e-54
1155	-82.9768974632	0.0	0.0
1156	-709.7756926	0.0	0.0
1157	0.0070202933316	0.0184814990874	1.0
1158	-0.530118269435	1.69940327093e-46	2.59996226022e-46
1159	-11.7395347925	0.0	0.0
1160	0.00174792163282	0.0118288678233	1.0
1161	-0.0314548321642	0.000120537759291	0.00197328271847
1162	-8.94249951866e-16	0.01	1.0
1163	-1.02707247395	4.18926555033e-89	4.80531902245e-89
1164	-0.281196920082	2.84064572216e-25	6.60374655972e-25
1165	-0.00685919366487	0.00469413005513	0.257143664189
1166	-44.3232930458	0.0	0.0
1167	-0.00587438376003	0.00528123683438	0.312507132994
1168	0.00576291556753	0.0167494837558	1.0
